sat_id,sat_beam_id,sat_beam_ch_id,macd_id,concat,Ref,FWD Msps,FWD Rolloff,Modulation,Coding Rate,Ideal Spectral Efficiency,MACD_capacity_Mbps,beam-capacity,beam-capacity-lap3
1B,66,1,5,1B6615,1BB066C1-MACD_1,52,0.2,32APSK,0.8,4,170.7692308,1580.8,1409.2
1B,66,1,6,1B6616,1BB066C1-MACD_2,52,0.2,32APSK,0.8,4,170.7692308,1580.8,1409.2
1B,66,1,7,1B6617,1BB066C1-MACD_3,52,0.2,32APSK,0.8,3.7,167.2115385,1580.8,1409.2
1B,66,1,8,1B6618,1BB066C1-MACD_4,52,0.2,32APSK,0.8,3.7,167.2115385,1580.8,1409.2
1A,67,2,4,1A6724,1AB067C2-MACD_4,52,0.2,32APSK,0.9,4.4,219.8927,862.6,851.7
1A,67,1,3,1A6713,1AB067C1-MACD_3,52,0.2,32APSK,0.8,4.1,197.57855,419.7,618
1A,67,2,1,1A6721,1AB067C2-MACD_1,52,0.2,32APSK,0.8,4.1,197.57855,862.6,851.7
1A,67,2,3,1A6723,1AB067C2-MACD_3,52,0.2,32APSK,0.8,4.1,214.2,862.6,851.7
1A,67,1,2,1A6712,1AB067C1-MACD_2,52,0.2,32APSK,0.8,4,197.57855,419.7,618
1A,67,2,2,1A6722,1AB067C2-MACD_2,52,0.2,32APSK,0.8,4,205.5,862.6,851.7
1B,67,1,2,1B6712,1BB067C1-MACD_2,52,0.2,32APSK,0.9,4.4,219.8927,442.9,439.8
1B,67,2,3,1B6723,1BB067C2-MACD_3,52,0.2,32APSK,0.9,4.4,219.8927,885.8,851.7
1B,67,2,4,1B6724,1BB067C2-MACD_4,52,0.2,32APSK,0.9,4.4,219.8927,885.8,851.7
1B,67,1,3,1B6713,1BB067C1-MACD_3,52,0.2,32APSK,0.8,4.1,205.977,442.9,439.8
1B,67,2,1,1B6721,1BB067C2-MACD_1,52,0.2,32APSK,0.8,4.1,197.57855,885.8,851.7
1B,67,2,2,1B6722,1BB067C2-MACD_2,52,0.2,32APSK,0.8,4.1,205.977,885.8,851.7
1A,68,1,1,1A6811,1AB068C1-MACD_1,52,0.2,32APSK,0.8,3.7,185.16475,577.8,555.5
1A,68,1,2,1A6812,1AB068C1-MACD_2,52,0.1,32APSK,0.8,3.7,185.16475,577.8,555.5
1A,68,1,3,1A6813,1AB068C1-MACD_3,52,0.1,32APSK,0.8,3.7,185.16475,577.8,555.5
1B,68,1,2,1B6812,1BB068C1-MACD_2,52,0.1,16APSK,0.9,3.5,165.0092,538,488.3
1B,68,1,3,1B6813,1BB068C1-MACD_3,52,0.1,16APSK,0.9,3.5,165.0092,538,488.3
1B,68,1,1,1B6811,1BB068C1-MACD_1,52,0.2,16APSK,0.8,3.3,158.28115,538,488.3
1A,69,1,4,1A6914,1AB069C1-MACD_4,52,0.1,32APSK,0.8,3.7,185.16475,1086.9,1046.3
1A,69,1,5,1A6915,1AB069C1-MACD_5,52,0.1,32APSK,0.8,3.7,176.15715,1086.9,1046.3
1A,69,1,6,1A6916,1AB069C1-MACD_6,52,0.1,32APSK,0.8,3.7,192.6,1086.9,1046.3
1A,69,1,3,1A6913,1AB069C1-MACD_3,52,0.1,16APSK,0.9,3.5,176.15715,1086.9,1046.3
1A,69,1,2,1A6912,1AB069C1-MACD_2,52,0.1,16APSK,0.8,3.3,158.28115,1086.9,1046.3
1A,69,1,1,1A6911,1AB069C1-MACD_1,52,0.2,16APSK,0.8,3,131.86005,1086.9,1046.3
